code,county_name
23001,Androscoggin
23003,Aroostook
23005,Cumberland
23007,Franklin
23009,Hancock
23011,Kennebec
23013,Knox
23015,Lincoln
23017,Oxford
23019,Penobscot
23021,Piscataquis
23023,Sagadahoc
23025,Somerset
23027,Waldo
23029,Washington
23031,York
24000,Maryland
24001,Allegany
24003,Anne Arundel
24005,Baltimore
24009,Calvert
24011,Caroline
24013,Carroll
24015,Cecil
24017,Charles
24019,Dorchester
24021,Frederick
24023,Garrett
24025,Harford
24027,Howard
24029,Kent
24031,Montgomery
24033,Prince George
24035,Queen Anne
24037,St. Mary
24039,Somerset
24041,Talbot
24043,Washington
24045,Wicomico
24047,Worcester
24510,Baltimore city
25000,Massachusetts
25001,Barnstable
25003,Berkshire
25005,Bristol
25007,Dukes
25009,Essex
25011,Franklin
25013,Hampden
25015,Hampshire
25017,Middlesex
25019,Nantucket
25021,Norfolk
25023,Plymouth
25025,Suffolk
25027,Worcester